PLZ;Ort;Strasse
86807;Buchloe;Austraße
86807;Buchloe;Bergstraße
86807;Buchloe;Pisterweg
86807;Buchloe;Uferweg
86807;Buchloe;Bürgermeister-Förg-Straße
86807;Buchloe;Waaler Str.
86807;Buchloe;Lindenberger Str.
86807;Buchloe;Urbanstraße
86807;Buchloe;Fellhornstraße
86860;Jengen;Jakob-Neubrand-Straße
86860;Jengen;Lindenweg
86860;Jengen;Eichenweg
86860;Jengen;Ulmenweg
86860;Jengen;Landgerichtsweg
86860;Jengen;Eschenweg
86860;Jengen;Ahornweg
86860;Jengen;Kardinalstraße
86875;Waal;Am Walkweiher
86875;Waal;Zunftstraße
86875;Waal;Gerberweg
86875;Waal;Mühlstraße
86875;Waal;Burgstraße
86944;Unterdießen;Sonnenweg
86944;Unterdießen;Schäferweg
86944;Unterdießen;Am Wiesbach
96158;Frensdorf;Höhenstraße 
96158;Frensdorf;Am Fuchsenkeller
96175;Pettstadt;Lange Str. 
96175;Pettstadt;Ringstraße
